[REV]									
ID=1.0.0									
APP=IC-PCR1000  Revision 2.0									
[BANK00]									
BANKNAME=Africa									
ACTIVECH=0									
00=AFI/SAT		3.452	USB	3k	OFF	3kHz	OFF	OFF	OFF
01=AFI/SAT		6.535	USB	3k	OFF	3kHz	OFF	OFF	OFF
02=AFI/SAT		8.861	USB	3k	OFF	3kHz	OFF	OFF	OFF
03=AFI/SAT		13.357	USB	3k	OFF	3kHz	OFF	OFF	OFF
04=AFI/SAT		17.955	USB	3k	OFF	3kHz	OFF	OFF	OFF
05=AFI-2		3.419	USB	3k	OFF	3kHz	OFF	OFF	OFF
06=AFI-2		5.652	USB	3k	OFF	3kHz	OFF	OFF	OFF
07=AFI-2		8.894	USB	3k	OFF	3kHz	OFF	OFF	OFF
08=AFI-2		13.273	USB	3k	OFF	3kHz	OFF	OFF	OFF
09=AFI-2		17.961	USB	3k	OFF	3kHz	OFF	OFF	OFF
10=AFI/MID		3.467	USB	3k	OFF	3kHz	OFF	OFF	OFF
11=AFI/MID		5.658	USB	3k	OFF	3kHz	OFF	OFF	OFF
12=AFI/MID		10.018	USB	3k	OFF	3kHz	OFF	OFF	OFF
13=AFI/MID		11.3	USB	3k	OFF	3kHz	OFF	OFF	OFF
14=AFI/MID		13.288	USB	3k	OFF	3kHz	OFF	OFF	OFF
15=AFI/MID		17.961	USB	3k	OFF	3kHz	OFF	OFF	OFF
16=AFI-4		2.878	USB	3k	OFF	3kHz	OFF	OFF	OFF
17=AFI-4		5.493	USB	3k	OFF	3kHz	OFF	OFF	OFF
18=AFI-4		8.903	USB	3k	OFF	3kHz	OFF	OFF	OFF
19=AFI-4		13.294	USB	3k	OFF	3kHz	OFF	OFF	OFF
20=AFI-4		17.961	USB	3k	OFF	3kHz	OFF	OFF	OFF
21=AFI/INO		3.476	USB	3k	OFF	3kHz	OFF	OFF	OFF
22=AFI/INO		5.634	USB	3k	OFF	3kHz	OFF	OFF	OFF
23=AFI/INO		8.879	USB	3k	OFF	3kHz	OFF	OFF	OFF
24=AFI/INO		13.306	USB	3k	OFF	3kHz	OFF	OFF	OFF
25=AFI/INO		17.961	USB	3k	OFF	3kHz	OFF	OFF	OFF
[BANK01]									
BANKNAME=Pacific									
ACTIVECH=0									
00=CEP-1/2		2.869	USB	3k	OFF	3kHz	OFF	OFF	OFF
01=CEP-1/2		3.413	USB	3k	OFF	3kHz	OFF	OFF	OFF
02=CEP-1/2		5.547	USB	3k	OFF	3kHz	OFF	OFF	OFF
03=CEP-1/2		5.574	USB	3k	OFF	3kHz	OFF	OFF	OFF
04=CEP-1/2		8.843	USB	3k	OFF	3kHz	OFF	OFF	OFF
05=CEP-1/2		11.282	USB	3k	OFF	3kHz	OFF	OFF	OFF
06=CEP-1/2		13.261	USB	3k	OFF	3kHz	OFF	OFF	OFF
07=CEP-1/2		13.354	USB	3k	OFF	3kHz	OFF	OFF	OFF
08=CEP-1/2		17.904	USB	3k	OFF	3kHz	OFF	OFF	OFF
09=CWP-1/2		2.998	USB	3k	OFF	3kHz	OFF	OFF	OFF
10=CWP-1/2		4.666	USB	3k	OFF	3kHz	OFF	OFF	OFF
11=CWP-1/2		6.532	USB	3k	OFF	3kHz	OFF	OFF	OFF
12=CWP-1/2		6.562	USB	3k	OFF	3kHz	OFF	OFF	OFF
13=CWP-1/2		8.903	USB	3k	OFF	3kHz	OFF	OFF	OFF
14=CWP-1/2		11.384	USB	3k	OFF	3kHz	OFF	OFF	OFF
15=CWP-1/2		13.3	USB	3k	OFF	3kHz	OFF	OFF	OFF
16=CWP-1/2		17.904	USB	3k	OFF	3kHz	OFF	OFF	OFF
17=CWP-1/2		21.985	USB	3k	OFF	3kHz	OFF	OFF	OFF
18=NP		2.932	USB	3k	OFF	3kHz	OFF	OFF	OFF
19=NP		5.628	USB	3k	OFF	3kHz	OFF	OFF	OFF
20=NP		5.667	USB	3k	OFF	3kHz	OFF	OFF	OFF
21=NP		6.665	USB	3k	OFF	3kHz	OFF	OFF	OFF
22=NP		8.915	USB	3k	OFF	3kHz	OFF	OFF	OFF
23=NP		10.048	USB	3k	OFF	3kHz	OFF	OFF	OFF
24=NP		13.294	USB	3k	OFF	3kHz	OFF	OFF	OFF
25=NP		17.904	USB	3k	OFF	3kHz	OFF	OFF	OFF
26=NP		17.946	USB	3k	OFF	3kHz	OFF	OFF	OFF
27=NP		21.925	USB	3k	OFF	3kHz	OFF	OFF	OFF
28=SP		3.467	USB	3k	OFF	3kHz	OFF	OFF	OFF
29=SP		5.643	USB	3k	OFF	3kHz	OFF	OFF	OFF
30=SP		5.667	USB	3k	OFF	3kHz	OFF	OFF	OFF
31=SP		8.867	USB	3k	OFF	3kHz	OFF	OFF	OFF
32=SP		13.273	USB	3k	OFF	3kHz	OFF	OFF	OFF
33=SP		17.904	USB	3k	OFF	3kHz	OFF	OFF	OFF
[BANK02]									
BANKNAME=Eur/W_Asia									
ACTIVECH=0									
00=EUR-A		3.479	USB	3k	OFF	3kHz	OFF	OFF	OFF
01=EUR-A		5.661	USB	3k	OFF	3kHz	OFF	OFF	OFF
02=EUR-A		6.598	USB	3k	OFF	3kHz	OFF	OFF	OFF
03=EUR-A		10.084	USB	3k	OFF	3kHz	OFF	OFF	OFF
04=EUR-A		13.288	USB	3k	OFF	3kHz	OFF	OFF	OFF
05=EUR-A		17.961	USB	3k	OFF	3kHz	OFF	OFF	OFF
06=MID-1		2.992	USB	3k	OFF	3kHz	OFF	OFF	OFF
07=MID-1		4.669	USB	3k	OFF	3kHz	OFF	OFF	OFF
08=MID-1		6.631	USB	3k	OFF	3kHz	OFF	OFF	OFF
09=MID-1		8.951	USB	3k	OFF	3kHz	OFF	OFF	OFF
10=MID-1		11.375	USB	3k	OFF	3kHz	OFF	OFF	OFF
11=MID-1		17.961	USB	3k	OFF	3kHz	OFF	OFF	OFF
12=MID-3		2.944	USB	3k	OFF	3kHz	OFF	OFF	OFF
13=MID-3		4.669	USB	3k	OFF	3kHz	OFF	OFF	OFF
14=MID-3		6.631	USB	3k	OFF	3kHz	OFF	OFF	OFF
15=MID-3		8.951	USB	3k	OFF	3kHz	OFF	OFF	OFF
16=MID-3		11.375	USB	3k	OFF	3kHz	OFF	OFF	OFF
17=MID-3		17.961	USB	3k	OFF	3kHz	OFF	OFF	OFF
18=NCA-1		3.019	USB	3k	OFF	3kHz	OFF	OFF	OFF
19=NCA-1		5.646	USB	3k	OFF	3kHz	OFF	OFF	OFF
20=NCA-1		13.315	USB	3k	OFF	3kHz	OFF	OFF	OFF
21=NCA-1		17.958	USB	3k	OFF	3kHz	OFF	OFF	OFF
22=NCA-2		2.851	USB	3k	OFF	3kHz	OFF	OFF	OFF
23=NCA-2		4.678	USB	3k	OFF	3kHz	OFF	OFF	OFF
24=NCA-2		6.592	USB	3k	OFF	3kHz	OFF	OFF	OFF
25=NCA-2		10.096	USB	3k	OFF	3kHz	OFF	OFF	OFF
26=NCA-2		17.958	USB	3k	OFF	3kHz	OFF	OFF	OFF
27=NCA-3		3.004	USB	3k	OFF	3kHz	OFF	OFF	OFF
28=NCA-3		5.664	USB	3k	OFF	3kHz	OFF	OFF	OFF
29=NCA-3		10.039	USB	3k	OFF	3kHz	OFF	OFF	OFF
30=NCA-3		13.303	USB	3k	OFF	3kHz	OFF	OFF	OFF
31=NCA-3		17.958	USB	3k	OFF	3kHz	OFF	OFF	OFF
[BANK03]									
BANKNAME=N_Atlantic									
ACTIVECH=0									
00=NAT-A		3.016	USB	3k	OFF	3kHz	OFF	OFF	OFF
01=NAT-A		5.598	USB	3k	OFF	3kHz	OFF	OFF	OFF
02=NAT-A		8.906	USB	3k	OFF	3kHz	OFF	OFF	OFF
03=NAT-A		13.306	USB	3k	OFF	3kHz	OFF	OFF	OFF
04=NAT-A		17.946	USB	3k	OFF	3kHz	OFF	OFF	OFF
05=NAT-B		2.899	USB	3k	OFF	3kHz	OFF	OFF	OFF
06=NAT-B		5.616	USB	3k	OFF	3kHz	OFF	OFF	OFF
07=NAT-B		8.864	USB	3k	OFF	3kHz	OFF	OFF	OFF
08=NAT-B		13.291	USB	3k	OFF	3kHz	OFF	OFF	OFF
09=NAT-B		17.946	USB	3k	OFF	3kHz	OFF	OFF	OFF
10=NAT-C		2.862	USB	3k	OFF	3kHz	OFF	OFF	OFF
11=NAT-C		5.649	USB	3k	OFF	3kHz	OFF	OFF	OFF
12=NAT-C		8.879	USB	3k	OFF	3kHz	OFF	OFF	OFF
13=NAT-C		13.306	USB	3k	OFF	3kHz	OFF	OFF	OFF
14=NAT-C		17.946	USB	3k	OFF	3kHz	OFF	OFF	OFF
15=NAT-D		2.971	USB	3k	OFF	3kHz	OFF	OFF	OFF
16=NAT-D		4.675	USB	3k	OFF	3kHz	OFF	OFF	OFF
17=NAT-D		8.891	USB	3k	OFF	3kHz	OFF	OFF	OFF
18=NAT-D		11.279	USB	3k	OFF	3kHz	OFF	OFF	OFF
19=NAT-D		13.291	USB	3k	OFF	3kHz	OFF	OFF	OFF
20=NAT-D		17.946	USB	3k	OFF	3kHz	OFF	OFF	OFF
21=NAT-E		2.962	USB	3k	OFF	3kHz	OFF	OFF	OFF
22=NAT-E		6.628	USB	3k	OFF	3kHz	OFF	OFF	OFF
23=NAT-E		8.825	USB	3k	OFF	3kHz	OFF	OFF	OFF
24=NAT-E		11.309	USB	3k	OFF	3kHz	OFF	OFF	OFF
25=NAT-E		13.354	USB	3k	OFF	3kHz	OFF	OFF	OFF
26=NAT-F		3.476	USB	3k	OFF	3kHz	OFF	OFF	OFF
27=NAT-F		6.622	USB	3k	OFF	3kHz	OFF	OFF	OFF
28=NAT-F		8.831	USB	3k	OFF	3kHz	OFF	OFF	OFF
[BANK04]									
BANKNAME=Carr/S_Am									
ACTIVECH=0									
00=CAR-A		2.887	USB	3k	OFF	3kHz	OFF	OFF	OFF
01=CAR-A		5.55	USB	3k	OFF	3kHz	OFF	OFF	OFF
02=CAR-A		6.577	USB	3k	OFF	3kHz	OFF	OFF	OFF
03=CAR-A		8.918	USB	3k	OFF	3kHz	OFF	OFF	OFF
04=CAR-A		11.396	USB	3k	OFF	3kHz	OFF	OFF	OFF
05=CAR-A		13.297	USB	3k	OFF	3kHz	OFF	OFF	OFF
06=CAR-A		17.907	USB	3k	OFF	3kHz	OFF	OFF	OFF
07=CAR-B		3.455	USB	3k	OFF	3kHz	OFF	OFF	OFF
08=CAR-B		5.52	USB	3k	OFF	3kHz	OFF	OFF	OFF
09=CAR-B		6.586	USB	3k	OFF	3kHz	OFF	OFF	OFF
10=CAR-B		8.846	USB	3k	OFF	3kHz	OFF	OFF	OFF
11=CAR-B		11.33	USB	3k	OFF	3kHz	OFF	OFF	OFF
12=CAR-B		11.387	USB	3k	OFF	3kHz	OFF	OFF	OFF
13=CAR-B		17.907	USB	3k	OFF	3kHz	OFF	OFF	OFF
14=E_SAM		3.479	USB	3k	OFF	3kHz	OFF	OFF	OFF
15=E_SAM		5.526	USB	3k	OFF	3kHz	OFF	OFF	OFF
16=E_SAM		8.855	USB	3k	OFF	3kHz	OFF	OFF	OFF
17=E_SAM		10.096	USB	3k	OFF	3kHz	OFF	OFF	OFF
18=E_SAM		13.297	USB	3k	OFF	3kHz	OFF	OFF	OFF
19=E_SAM		17.907	USB	3k	OFF	3kHz	OFF	OFF	OFF
20=W_SAM		2.944	USB	3k	OFF	3kHz	OFF	OFF	OFF
21=W_SAM		4.669	USB	3k	OFF	3kHz	OFF	OFF	OFF
22=W_SAM		6.549	USB	3k	OFF	3kHz	OFF	OFF	OFF
23=W_SAM		10.024	USB	3k	OFF	3kHz	OFF	OFF	OFF
24=W_SAM		11.36	USB	3k	OFF	3kHz	OFF	OFF	OFF
25=W_SAM		17.907	USB	3k	OFF	3kHz	OFF	OFF	OFF
26=SAT-2		2.854	USB	3k	OFF	3kHz	OFF	OFF	OFF
27=SAT-2		5.565	USB	3k	OFF	3kHz	OFF	OFF	OFF
28=SAT-2		11.291	USB	3k	OFF	3kHz	OFF	OFF	OFF
29=SAT-2		13.315	USB	3k	OFF	3kHz	OFF	OFF	OFF
30=SAT-2		17.955	USB	3k	OFF	3kHz	OFF	OFF	OFF
[BANK05]									
BANKNAME=E/S_Asia									
ACTIVECH=0									
00=EA-1		3.016	USB	3k	OFF	3kHz	OFF	OFF	OFF
01=EA-1		6.571	USB	3k	OFF	3kHz	OFF	OFF	OFF
02=EA-1		8.897	USB	3k	OFF	3kHz	OFF	OFF	OFF
03=EA-1		10.042	USB	3k	OFF	3kHz	OFF	OFF	OFF
04=EA-1		17.958	USB	3k	OFF	3kHz	OFF	OFF	OFF
05=SEA-1/3		3.47	USB	3k	OFF	3kHz	OFF	OFF	OFF
06=SEA-1/3		6.556	USB	3k	OFF	3kHz	OFF	OFF	OFF
07=SEA-1/3		10.066	USB	3k	OFF	3kHz	OFF	OFF	OFF
08=SEA-1/3		11.396	USB	3k	OFF	3kHz	OFF	OFF	OFF
09=SEA-1/3		13.318	USB	3k	OFF	3kHz	OFF	OFF	OFF
10=SEA-1/3		17.907	USB	3k	OFF	3kHz	OFF	OFF	OFF
11=SEA/EA		3.485	USB	3k	OFF	3kHz	OFF	OFF	OFF
12=SEA/EA		5.649	USB	3k	OFF	3kHz	OFF	OFF	OFF
13=SEA/EA		5.655	USB	3k	OFF	3kHz	OFF	OFF	OFF
14=SEA/EA		8.942	USB	3k	OFF	3kHz	OFF	OFF	OFF
15=SEA/EA		11.396	USB	3k	OFF	3kHz	OFF	OFF	OFF
16=SEA/EA		13.309	USB	3k	OFF	3kHz	OFF	OFF	OFF
17=SEA/EA		17.907	USB	3k	OFF	3kHz	OFF	OFF	OFF
[BANK06]									
BANKNAME=MET									
ACTIVECH=1									
00=MET-NAT		3.485	USB	3k	OFF	3kHz	OFF	OFF	OFF
01=MET-NAT		6.604	USB	3k	OFF	3kHz	OFF	OFF	OFF
02=MET-NAT		10.051	USB	3k	OFF	3kHz	OFF	OFF	OFF
03=MET-NAT		13.27	USB	3k	OFF	3kHz	OFF	OFF	OFF
04=MET-EU		3.413	USB	3k	OFF	3kHz	OFF	OFF	OFF
05=MET-EU		5.505	USB	3k	OFF	3kHz	OFF	OFF	OFF
06=MET-EU		8.957	USB	3k	OFF	3kHz	OFF	OFF	OFF
07=MET-EU		13.264	USB	3k	OFF	3kHz	OFF	OFF	OFF
08=MET-PAC		2.863	USB	3k	OFF	3kHz	OFF	OFF	OFF
09=MET-PAC		6.679	USB	3k	OFF	3kHz	OFF	OFF	OFF
10=MET-PAC		8.828	USB	3k	OFF	3kHz	OFF	OFF	OFF
11=MET-PAC		13.282	USB	3k	OFF	3kHz	OFF	OFF	OFF
[BANK07]									
BANKNAME=Comp-1									
ACTIVECH=0									
00=Houston		5.529	USB	3k	OFF	3kHz	OFF	OFF	OFF
01=Houston		6.637	USB	3k	OFF	3kHz	OFF	OFF	OFF
02=Houston		10.075	USB	3k	OFF	3kHz	OFF	OFF	OFF
03=Houston		11.342	USB	3k	OFF	3kHz	OFF	OFF	OFF
04=Houston		13.33	USB	3k	OFF	3kHz	OFF	OFF	OFF
05=Houston		17.94	USB	3k	OFF	3kHz	OFF	OFF	OFF
07=Honolulu		3.013	USB	3k	OFF	3kHz	OFF	OFF	OFF
08=Honolulu		6.64	USB	3k	OFF	3kHz	OFF	OFF	OFF
09=Honolulu		10.033	USB	3k	OFF	3kHz	OFF	OFF	OFF
10=Honolulu		11.342	USB	3k	OFF	3kHz	OFF	OFF	OFF
11=Honolulu		13.348	USB	3k	OFF	3kHz	OFF	OFF	OFF
12=Honolulu		13.354	USB	3k	OFF	3kHz	OFF	OFF	OFF
13=Honolulu		17.925	USB	3k	OFF	3kHz	OFF	OFF	OFF
14=Honolulu		21.964	USB	3k	OFF	3kHz	OFF	OFF	OFF
15=New_York		3.494	USB	3k	OFF	3kHz	OFF	OFF	OFF
16=New_York		6.526	USB	3k	OFF	3kHz	OFF	OFF	OFF
17=New_York		6.64	USB	3k	OFF	3kHz	OFF	OFF	OFF
18=New_York		11.342	USB	3k	OFF	3kHz	OFF	OFF	OFF
19=New_York		13.33	USB	3k	OFF	3kHz	OFF	OFF	OFF
20=New_York		13.354	USB	3k	OFF	3kHz	OFF	OFF	OFF
21=New_York		17.925	USB	3k	OFF	3kHz	OFF	OFF	OFF
23=San_Fran		3.013	USB	3k	OFF	3kHz	OFF	OFF	OFF
24=San_Fran		3.413	USB	3k	OFF	3kHz	OFF	OFF	OFF
25=San_Fran		6.64	USB	3k	OFF	3kHz	OFF	OFF	OFF
26=San_Fran		8.843	USB	3k	OFF	3kHz	OFF	OFF	OFF
27=San_Fran		11.342	USB	3k	OFF	3kHz	OFF	OFF	OFF
28=San_Fran		13.3	USB	3k	OFF	3kHz	OFF	OFF	OFF
29=San_Fran		13.348	USB	3k	OFF	3kHz	OFF	OFF	OFF
30=San_Fran		13.354	USB	3k	OFF	3kHz	OFF	OFF	OFF
31=San_Fran		17.925	USB	3k	OFF	3kHz	OFF	OFF	OFF
33=Gulf_Mex		4.55	USB	3k	OFF	3kHz	OFF	OFF	OFF
34=Gulf_Mex		6.82	USB	3k	OFF	3kHz	OFF	OFF	OFF
35=Gulf_Mex		8.07	USB	3k	OFF	3kHz	OFF	OFF	OFF
36=Gulf_Mex		13.354	USB	3k	OFF	3kHz	OFF	OFF	OFF
37=St_Johns		3.485	USB	3k	OFF	3kHz	OFF	OFF	OFF
38=St_Johns		5.604	USB	3k	OFF	3kHz	OFF	OFF	OFF
39=St_Johns		8.819	USB	3k	OFF	3kHz	OFF	OFF	OFF
40=St_Johns		13.285	USB	3k	OFF	3kHz	OFF	OFF	OFF
41=St_Johns		13.42	USB	3k	OFF	3kHz	OFF	OFF	OFF
42=St_Johns		17.91	USB	3k	OFF	3kHz	OFF	OFF	OFF
[BANK08]									
BANKNAME=Comp-2									
ACTIVECH=42									
00=Berne		3.01	USB	3k	OFF	3kHz	OFF	OFF	OFF
01=Berne		4.654	USB	3k	OFF	3kHz	OFF	OFF	OFF
02=Berne		4.67	USB	3k	OFF	3kHz	OFF	OFF	OFF
03=Berne		4.702	USB	3k	OFF	3kHz	OFF	OFF	OFF
04=Berne		6.526	USB	3k	OFF	3kHz	OFF	OFF	OFF
05=Berne		6.643	USB	3k	OFF	3kHz	OFF	OFF	OFF
06=Berne		6.705	USB	3k	OFF	3kHz	OFF	OFF	OFF
07=Berne		6.742	USB	3k	OFF	3kHz	OFF	OFF	OFF
08=Berne		8.936	USB	3k	OFF	3kHz	OFF	OFF	OFF
09=Berne		9.211	USB	3k	OFF	3kHz	OFF	OFF	OFF
10=Berne		10.069	USB	3k	OFF	3kHz	OFF	OFF	OFF
11=Berne		13.205	USB	3k	OFF	3kHz	OFF	OFF	OFF
12=Berne		13.266	USB	3k	OFF	3kHz	OFF	OFF	OFF
13=Berne		13.324	USB	3k	OFF	3kHz	OFF	OFF	OFF
14=Berne		15.046	USB	3k	OFF	3kHz	OFF	OFF	OFF
15=Berne		15.05	USB	3k	OFF	3kHz	OFF	OFF	OFF
16=Berne		15.835	USB	3k	OFF	3kHz	OFF	OFF	OFF
17=Berne		17.931	USB	3k	OFF	3kHz	OFF	OFF	OFF
18=Berne		18.023	USB	3k	OFF	3kHz	OFF	OFF	OFF
19=Berne		18.48	USB	3k	OFF	3kHz	OFF	OFF	OFF
20=Berne		19.554	USB	3k	OFF	3kHz	OFF	OFF	OFF
21=Berne		20.035	USB	3k	OFF	3kHz	OFF	OFF	OFF
22=Berne		20.87	USB	3k	OFF	3kHz	OFF	OFF	OFF
23=Berne		21.933	USB	3k	OFF	3kHz	OFF	OFF	OFF
24=Berne		21.988	USB	3k	OFF	3kHz	OFF	OFF	OFF
25=Berne		23.285	USB	3k	OFF	3kHz	OFF	OFF	OFF
26=Berne		25.5	USB	3k	OFF	3kHz	OFF	OFF	OFF
27=London		3.482	USB	3k	OFF	3kHz	OFF	OFF	OFF
28=London		4.807	USB	3k	OFF	3kHz	OFF	OFF	OFF
29=London		5.61	USB	3k	OFF	3kHz	OFF	OFF	OFF
30=London		6.634	USB	3k	OFF	3kHz	OFF	OFF	OFF
31=London		8.17	USB	3k	OFF	3kHz	OFF	OFF	OFF
32=London		8.96	USB	3k	OFF	3kHz	OFF	OFF	OFF
33=London		10.291	USB	3k	OFF	3kHz	OFF	OFF	OFF
34=London		11.306	USB	3k	OFF	3kHz	OFF	OFF	OFF
35=London		12.133	USB	3k	OFF	3kHz	OFF	OFF	OFF
36=London		13.865	USB	3k	OFF	3kHz	OFF	OFF	OFF
37=London		14.89	USB	3k	OFF	3kHz	OFF	OFF	OFF
38=London		17.405	USB	3k	OFF	3kHz	OFF	OFF	OFF
39=London		19.51	USB	3k	OFF	3kHz	OFF	OFF	OFF
[BANK09]									
BANKNAME=									
ACTIVECH=7									
00=WWV2		2.5	AM	6k	ON	5kHz	OFF	OFF	OFF
01=WWV5		5	AM	6k	ON	5kHz	OFF	OFF	OFF
02=WWV10		10	AM	6k	ON	5kHz	OFF	OFF	OFF
03=WWV15		15	AM	6k	ON	5kHz	OFF	OFF	OFF
04=WWV20		20	AM	6k	ON	5kHz	OFF	OFF	OFF
05=CHU3		3.33	AM	6k	ON	5kHz	OFF	OFF	OFF
06=CHU5		7.335	AM	6k	ON	5kHz	OFF	OFF	OFF
07=CHU14		14.67	AM	6k	ON	20kHz	OFF	OFF	OFF
[BANK10]									
BANKNAME=									
ACTIVECH=0									
00=WFAN		0.66	AM	15k	OFF	10kHz	OFF	OFF	OFF
19=NONAME		0.8	AM	15k	OFF	10kHz	OFF	OFF	OFF
01=NONAME		0.83	AM	15k	OFF	10kHz	OFF	OFF	OFF
18=NONAME		0.88	AM	15k	OFF	10kHz	OFF	OFF	OFF
02=WPEN		0.95	AM	15k	OFF	10kHz	OFF	OFF	OFF
03=WBZ		1.03	AM	15k	OFF	20kHz	OFF	OFF	OFF
04=KYW		1.06	AM	15k	OFF	10kHz	OFF	OFF	OFF
05=WBAL		1.09	AM	15k	OFF	10kHz	OFF	OFF	OFF
06=NONAME		1.1	AM	15k	OFF	10kHz	OFF	OFF	OFF
07=NONAME		1.11	AM	15k	OFF	10kHz	OFF	OFF	OFF
08=WDEL		1.15	AM	15k	OFF	10kHz	OFF	OFF	OFF
09=NONAME		1.17	AM	15k	OFF	10kHz	OFF	OFF	OFF
10=WPHT		1.21	AM	15k	OFF	10kHz	OFF	OFF	OFF
11=WNRK		1.26	AM	15k	OFF	10kHz	OFF	OFF	OFF
12=WJBR		1.29	AM	15k	OFF	10kHz	OFF	OFF	OFF
13=NONAME		1.33	AM	15k	OFF	10kHz	OFF	OFF	OFF
14=WTMC		1.38	AM	15k	OFF	10kHz	OFF	OFF	OFF
15=WILM		1.45	AM	15k	OFF	10kHz	OFF	OFF	OFF
16=NONAME		1.51	AM	15k	OFF	10kHz	OFF	OFF	OFF
17=WSER		1.55	AM	15k	OFF	10kHz	OFF	OFF	OFF
20=NONAME		89.9	WFM	230k	OFF	200kHz	OFF	OFF	OFF
21=WVUD		91.3	WFM	230k	OFF	200kHz	OFF	OFF	OFF
22=WSTW		93.7	WFM	230k	OFF	200kHz	OFF	OFF	OFF
23=NONAME		94.1	WFM	230k	OFF	200kHz	OFF	OFF	OFF
24=NONAME		94.7	WFM	230k	OFF	200kHz	OFF	OFF	OFF
25=NONAME		95.7	WFM	230k	OFF	200kHz	OFF	OFF	OFF
26=WJBR		99.5	WFM	230k	OFF	200kHz	OFF	OFF	OFF
27=WXCY		103.7	WFM	230k	OFF	200kHz	OFF	OFF	OFF
28=NONAME		107.7	WFM	230k	OFF	200kHz	OFF	OFF	OFF
[BANK14]									
BANKNAME=
ACTIVECH=0
[BANK15]
BANKNAME=
ACTIVECH=0
[BANK16]
BANKNAME=
ACTIVECH=0
[BANK17]
BANKNAME=
ACTIVECH=0
[BANK18]
BANKNAME=
ACTIVECH=0
[BANK19]
BANKNAME=scan
ACTIVECH=7									
02=C17		493.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
04=C22		523.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
05=C23		529.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
07=C48		679.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
08=C61		757.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
10=C65		781.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
13=C29		565.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
16=C43		649.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
17=C45		661.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
20=C57		733.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
[COMMON]									
ACTIVEBANK=11									
[BANK11]									
BANKNAME=									
ACTIVECH=10									
00=C2		59.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
01=C10		197.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
02=C11		203.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
03=C12		209.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
04=C13		215.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
05=C17		493.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
06=C22		523.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
07=C23		529.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
08=C48		679.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
09=C61		757.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
10=C65		781.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
11=C29		565.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
12=C43		649.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
13=C45		661.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
14=C57		733.75	WFM	230k	OFF	6MHz	OFF	OFF	OFF
